what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577080272
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577093231
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577094615
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577098777
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577099754
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577101175
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577105823
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577112713
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577113611
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577114939
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577117455
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1363577139301
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577143092
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577144016
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577145393
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577147241
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363577149806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577154017
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577155733
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577156954
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577163735
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577164638
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577176928
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363577181979
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363577181979
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363577183155
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363577183155
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577185559
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577309398
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1363577309501
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1363577311380
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1363577311784
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577313820
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577370413
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363577370460
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363577370813
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363577371065
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1363577376685
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1363577376884
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363577387393
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363577388633
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363577388633
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577390403
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577598717
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363577598786
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363577599166
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363577599402
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363577605198
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363577605199
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363577607335
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363577607643
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363577607879
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363577611762
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363577611762
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577612771
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577628369
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1363577628434
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363577628800
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363577629030
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363577633138
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363577634074
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363577634075
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577635044
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577707858
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363577710553
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363578680203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363578737757
